message_id,date,sender,text,views,threat_level
msg_-1002214903849_14030,2026-07-25T10:29:42+00:00,7870772790,Amazon Ledger leads available (people who bought Ledger on Amazon).  NON-RAPED: Leads are manually collected by checking Amazon email:password combos for crypto-related purchases.  I can send a few sample lines for free until you get live vic with ledger theough call so you can verify they're not public leads.  3$ per line or 2.5$+10% after cashout  name+phone+mail+ledger wallet name+shipping addy+order number+order date,10,LOW
msg_-1002214903849_14029,2026-07-25T10:19:34+00:00,7954558057,Does Anyone need France DB,10,LOW
msg_-1002214903849_13967,2026-07-23T12:20:29+00:00,8446373426,Does anyone know what I need in total to do it without sin swapping?,10,LOW
msg_-1002214903849_13966,2026-07-23T12:19:55+00:00,5891012599,no,10,LOW
msg_-1002214903849_13964,2026-07-23T12:19:44+00:00,7215916980,do you know me?,10,LOW
msg_-1002214903849_13963,2026-07-23T12:19:35+00:00,5891012599,yeah,10,LOW
msg_-1002214903849_13962,2026-07-23T12:19:25+00:00,7215916980,is it true? i've seen it,10,LOW
msg_-1002214903849_13959,2026-07-23T12:18:56+00:00,7215916980,What's your account name on breachforums bro?,10,LOW
msg_-1002214903849_13958,2026-07-23T12:18:43+00:00,7215916980,hi,10,LOW
msg_-1002214903849_13957,2026-07-23T12:18:22+00:00,5891012599,hi,10,LOW
msg_-1002214903849_13955,2026-07-23T12:18:08+00:00,5891012599,ok,10,LOW
msg_-1002214903849_13954,2026-07-23T12:18:06+00:00,8446373426,Hello,10,LOW
msg_-1002214903849_13953,2026-07-23T12:17:53+00:00,7215916980,"nothing, just looking for friends",10,LOW
msg_-1002214903849_13952,2026-07-23T12:17:11+00:00,5891012599,what do you want bro say,10,LOW
msg_-1002214903849_13951,2026-07-23T12:16:48+00:00,7215916980,ok bro,10,LOW
msg_-1002214903849_13950,2026-07-23T12:16:22+00:00,5891012599,say bro,10,LOW
msg_-1002214903849_13949,2026-07-23T12:15:55+00:00,7215916980,hallo,10,LOW
msg_-1002214903849_13948,2026-07-23T12:09:32+00:00,5891012599,Raidforums(.)ru,10,LOW
msg_-1002214903849_13947,2026-07-23T12:07:41+00:00,6101553209,Link ?,10,LOW
msg_-1002214903849_13946,2026-07-23T09:58:34+00:00,5891012599,hes back raidforums guys,10,LOW
msg_-1002214903849_13945,2026-07-23T03:15:11+00:00,858123428,Seeking to purchase a large quantity of NL base combinations Ищу покупателя для приобретения большого количества базовых комбинаций NL.,10,LOW
msg_-1002214903849_13944,2026-07-22T21:29:47+00:00,8081428768,No,10,LOW
msg_-1002214903849_13943,2026-07-22T19:32:29+00:00,16602142,"Is there any partner who can provide ai key? For example, claude api key. DM.",10,LOW
msg_-1002214903849_13942,2026-07-22T18:51:46+00:00,8439075008,"A collection of almost 70 leaks, around 3.5 TB(!) in total (from 2026) available — can be selected individually or as a whole. Bulk pricing. DM.",10,LOW
msg_-1002214903849_13939,2026-07-22T17:17:27+00:00,1347724371,Anyone from USA?,10,LOW
msg_-1002214903849_13938,2026-07-22T14:29:13+00:00,6701286355,Breachforums link? Please,10,LOW
msg_-1002214903849_13937,2026-07-22T14:23:56+00:00,858123428,Seeking to purchase a large quantity of NL base combinations Ищу покупателя для приобретения большого количества базовых комбинаций NL.,10,LOW
msg_-1002214903849_13934,2026-07-22T00:15:34+00:00,16602142,"Is there any partner who can provide ai key? For example, claude api key. DM.",10,LOW
msg_-1002214903849_13933,2026-07-21T22:32:54+00:00,7696716390,te mande un mensaje @Xtilzz_jjk,10,LOW
msg_-1002214903849_13932,2026-07-21T22:23:04+00:00,5524057957,yo hablo español,10,LOW
msg_-1002214903849_13931,2026-07-21T22:22:23+00:00,7696716390,alguien de latam aca porfavor,10,LOW
msg_-1002214903849_13929,2026-07-21T12:09:04+00:00,7870772790,Amazon Ledger leads available (people who bought Ledger on Amazon).  NON-RAPED: Leads are manually collected by checking Amazon email:password combos for crypto-related purchases.  I can send a few sample lines for free until you get live vic with ledger theough call so you can verify they're not public leads.  3$ per line or 2.5$+10% after cashout  name+phone+mail+ledger wallet name+shipping addy+order number+order date,10,LOW
msg_-1002214903849_13926,2026-07-21T06:56:33+00:00,1347724371,Does anyone have paypal USA?? Work available long term work,10,LOW
msg_-1002214903849_13924,2026-07-21T06:11:40+00:00,8805205717,includes ultimate edition upgrade DLC,10,LOW
msg_-1002214903849_13923,2026-07-21T06:07:08+00:00,8805205717,Selling dump of Grand Theft Auto VI (PPSA29660),10,LOW
msg_-1002214903849_13918,2026-07-20T20:46:40+00:00,6701286355,New domain Breachforums ?,10,LOW
msg_-1002214903849_13917,2026-07-20T19:55:04+00:00,8604130235,"For people search help to install rat , fud rat , install drainer, or any service from real hacker ,I sell my hours help desk and install , dm",10,LOW
msg_-1002214903849_13916,2026-07-20T19:54:46+00:00,7397663362,Dm me,10,LOW
msg_-1002214903849_13915,2026-07-20T19:40:21+00:00,5891012599,hahahah i want,10,LOW
msg_-1002214903849_13914,2026-07-20T19:18:07+00:00,6701286355,Sent me link,10,LOW
msg_-1002214903849_13913,2026-07-20T18:45:36+00:00,5891012599,guys I want link raidforums new,10,LOW
msg_-1002214903849_13910,2026-07-20T17:03:42+00:00,16602142,"Is there any partner who can provide ai key? For example, claude api key. DM.",10,LOW
msg_-1002214903849_13907,2026-07-20T13:24:00+00:00,7397663362,Dm me,10,LOW
msg_-1002214903849_13906,2026-07-20T13:23:58+00:00,7397663362,Yeah,10,LOW
msg_-1002214903849_13905,2026-07-20T12:44:45+00:00,5267082564,is there any update of the site ?,10,LOW
msg_-1002214903849_13902,2026-07-20T01:43:17+00:00,8446373426,Hello,10,LOW
msg_-1002214903849_13900,2026-07-19T16:52:55+00:00,7533918271,Amazon Ledger leads available (people who bought Ledger on Amazon).  NON-RAPED: Leads are manually collected by checking Amazon email:password combos for crypto-related purchases.  I can send a few sample lines for free until you get live vic with ledger theough call so you can verify they're not public leads.  3$ per line or 2.5$+10% after cashout  name+phone+mail+ledger wallet name+shipping addy+order number+order date,10,LOW
msg_-1002214903849_13897,2026-07-18T08:26:30+00:00,16602142,@DarkWebArmyEscrow DM,10,LOW
msg_-1002214903849_13895,2026-07-18T08:17:13+00:00,786571003,"‼️⚡️Делаю на заказ сигны с бибизяном Мишаней! Расскажу его историю: Мишане сейчас 5 лет,он прожил в цирке почти всю свою жизнь,у меня находится уже 2 год. В цирке его били,выбили там зубы,переломали пальцы,отбили почку.  📌Цель:заработать на удаление новообразования с почки   СИГНУ ОТ МИШАНИ ВЗЯЛ +REP ПОДНЯЛ ❤️❤️ Деньги с сигн уходят на лечение Мишане!",10,LOW
msg_-1002214903849_13894,2026-07-18T08:14:34+00:00,16602142,I cannot send you a private message.@jedjwdh,10,LOW
msg_-1002214903849_13891,2026-07-17T20:24:52+00:00,8833783208,Need serious 18+ heads for casino verification 50-50 splits  [serious only],10,LOW
msg_-1002214903849_13888,2026-07-17T15:51:45+00:00,8959862090,"I'm selling dataleaks. For info, contact me via DM.",10,LOW
msg_-1002214903849_13885,2026-07-17T05:25:41+00:00,7504949970,%20 bonuslu sahibinden eski üyelik satışı aktiftir eski adres kayıtlı zaralar uygun fiyattan eklenmiştir Zara - Airbnb - Yemeksepeti ve bir çok siteye ait onaylı / kek kayıtlı kurucu mailli piyasadaki en yüksek kalite hesapları otomatik ve uğraşsız alabileceğiniz botumuz aktiftir. @onaylihesapsatinal_bot istek üyelikler için dmden iletişime geçebilirsiniz.,10,LOW
msg_-1002214903849_13884,2026-07-17T01:57:31+00:00,-1003996322658,Neymar last dance,10,LOW
msg_-1002214903849_13881,2026-07-16T15:48:43+00:00,6974608224,"I need to buy the source code for a tool that checks if CCVs are live or dead, with an automated $0.50-per-check payment system.",10,LOW
msg_-1002214903849_13878,2026-07-16T04:06:10+00:00,6002825514,shop cc ?,10,LOW
msg_-1002214903849_13877,2026-07-16T03:29:10+00:00,7390416221,i need url breached,10,LOW
msg_-1002214903849_13875,2026-07-16T00:01:32+00:00,7900828194,yea,10,LOW
msg_-1002214903849_13874,2026-07-16T00:01:16+00:00,8603216474,is epstein mm legit?,10,LOW
msg_-1002214903849_13873,2026-07-15T22:39:55+00:00,8604130235,People where buying old Instagram/ Facebook/ account actif,10,LOW
msg_-1002214903849_13871,2026-07-15T14:10:29+00:00,8595685682,Amazon Ledger leads not  available,10,LOW
msg_-1002214903849_13870,2026-07-15T09:49:31+00:00,7533918271,Amazon Ledger leads available (people who bought Ledger on Amazon).  NON-RAPED: Leads are manually collected by checking Amazon email:password combos for crypto-related purchases.  I can send a few sample lines for free until you get live vic with ledger theough call so you can verify they're not public leads.  3$ per line or 2.5$+10% after cashout  name+phone+mail+ledger wallet name+shipping addy+order number+order date,10,LOW
msg_-1002214903849_13864,2026-07-14T10:34:15+00:00,7430545265,Rez suisse dispo 🇨🇭,10,LOW
msg_-1002214903849_13860,2026-07-13T07:03:04+00:00,7025990553,Msg,10,LOW
msg_-1002214903849_13859,2026-07-13T06:54:27+00:00,6864484820,I’m buying instagram account list if anybody has,10,LOW
msg_-1002214903849_13858,2026-07-13T05:18:44+00:00,7706722577,"🏷️** refunds cannot be processed through customer service appeals. Verification results for some American Express cards may be inaccurate. If you mind this, please do not purchase!**  🏷️**Customer service only handles issues related to undeposited top-ups and coordination with merchants.**  🏷️**If you do not know how to use the card, please do not purchase. We cannot guarantee the card balance or provide usage instructions!**",10,LOW
msg_-1002214903849_13857,2026-07-13T05:17:26+00:00,7706722577,Selling worldwide ccs,10,LOW
msg_-1002214903849_13854,2026-07-12T13:08:56+00:00,7870772790,i have amazon ledger l3ads(people who bought it from amazon) name+phone+mail+ledger wallet name+shipping addy+order number+order date  i can send l1nes 1by1 for free until u get a live ledger vic so u can prove this da ta is real   3$ per 1,10,LOW
msg_-1002214903849_13850,2026-07-12T08:50:17+00:00,7430545265,Rez suisse dispo 🇨🇭,10,LOW
msg_-1002214903849_13849,2026-07-12T08:37:20+00:00,1784198173,"WTS hacked api key for llm gateway which exposes access to 416 models including fable, opus, GPT, kimi, mimimax, GLM , video generation models.",10,LOW
msg_-1002214903849_13847,2026-07-11T21:58:17+00:00,8604130235,@bfrepo_archived,10,LOW
msg_-1002214903849_13845,2026-07-11T21:58:02+00:00,8604130235,"Free list breach for better or paid , contact me dm",10,LOW
